,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
25228,25228,28138,2019,3,1,22.29,-97.89,28.4169,21.23935,28.4169,21.23935,24.04303,24.04303
25235,25235,28139,2019,3,1,22.5,-98.92,33.89993,19.34216,33.89993,19.34216,25.18964,25.18964
25242,25242,28145,2019,3,1,22.72,-97.92,29.2652,20.99451,29.2652,20.99451,24.09808,24.09808
25249,25249,28147,2019,3,1,22.42,-98.42,32.09943,20.40161,32.09943,20.40161,25.00491,25.00491
25256,25256,28148,2019,3,1,24.09,-99.15,33.40631,17.36975,33.40631,17.36975,24.00085,24.00085
25263,25263,28149,2019,3,1,24.21,-99.02,33.9176,18.24646,33.9176,18.24646,24.76913,24.76913
25270,25270,28150,2019,3,1,23.48,-98.98,33.1907,16.91528,33.1907,16.91528,23.5343,23.5343
25277,25277,28151,2019,3,1,23.96,-98.67,34.58661,18.99701,34.58661,18.99701,25.50674,25.50674
25284,25284,28152,2019,3,1,23.77,-98.21,32.3869,19.85699,32.3869,19.85699,24.3775,24.3775
25291,25291,28154,2019,3,1,23.7,-98.2,32.23544,19.8494,32.23544,19.8494,24.31564,24.31564
25298,25298,28156,2019,3,1,22.74,-98.97,33.7002,18.89484,33.7002,18.89484,24.7735,24.7735
25305,25305,28160,2019,3,1,23.82,-98.03,31.75775,20.03741,31.75775,20.03741,24.21704,24.21704
25312,25312,28161,2019,3,1,23.97,-98.46,33.8028,19.40234,33.8028,19.40234,25.10303,25.10303
25319,25319,28163,2019,3,1,22.86,-98.23,31.47351,20.18921,31.47351,20.18921,24.34494,24.34494
25326,25326,28164,2019,3,1,23.37,-99.01,33.14948,17.00519,33.14948,17.00519,23.52374,23.52374
25333,25333,28169,2019,3,1,23.77,-99.25,32.6391,16.09454,32.6391,16.09454,22.78522,22.78522
25340,25340,28170,2019,3,1,23.7,-99.19,32.64832,16.03461,32.64832,16.03461,22.7482,22.7482
25347,25347,28175,2019,3,1,22.42,-97.95,29.20297,21.16168,29.20297,21.16168,24.26575,24.26575
25354,25354,28176,2019,3,1,23.38,-99.89,30.27768,12.53452,30.27768,12.53452,19.81158,19.81158
25361,25361,28178,2019,3,1,23.14,-98.75,33.73773,18.82703,33.73773,18.82703,24.78641,24.78641
25368,25368,28179,2019,3,1,24.4,-99.29,33.20956,17.18982,33.20956,17.18982,24.03873,24.03873
25375,25375,28180,2019,3,1,24.4,-98.38,32.80426,19.30933,32.80426,19.30933,24.51447,24.51447
25382,25382,28182,2019,3,1,24.43,-98.91,33.94269,18.84003,33.94269,18.84003,25.0545,25.0545
25389,25389,28183,2019,3,1,23.45,-99.51,31.85699,14.75784,31.85699,14.75784,21.59052,21.59052
25396,25396,28184,2019,3,1,24.38,-99.5,32.74277,16.5907,32.74277,16.5907,23.47433,23.47433
25403,25403,28185,2019,3,1,23.56,-99.03,33.07794,16.6431,33.07794,16.6431,23.32996,23.32996
25410,25410,28186,2019,3,1,24.1,-98.81,34.59933,18.9967,34.59933,18.9967,25.52707,25.52707
25417,25417,28188,2019,3,1,25.09,-97.92,30.02695,19.26038,30.02695,19.26038,23.53485,23.53485
25424,25424,28189,2019,3,1,23.14,-99.69,31.70245,14.90958,31.70245,14.90958,21.52899,21.52899
25431,25431,28190,2019,3,1,23.57,-98.53,33.29785,18.35831,33.29785,18.35831,24.3497,24.3497
25438,25438,28191,2019,3,1,24.05,-99.39,32.78775,16.57327,32.78775,16.57327,23.22043,23.22043
25445,25445,28192,2019,3,1,24.25,-98.98,34.01874,18.50323,34.01874,18.50323,24.9527,24.9527
25452,25452,28193,2019,3,1,23.63,-99.3,32.29437,15.44708,32.29437,15.44708,22.20636,22.20636
25459,25459,28194,2019,3,1,24.2,-99.35,33.01746,16.87573,33.01746,16.87573,23.61002,23.61002
25466,25466,28195,2019,3,1,22.95,-98.8,33.80344,19.19644,33.80344,19.19644,24.98535,24.98535
25473,25473,28196,2019,3,1,22.96,-97.94,29.83392,20.59018,29.83392,20.59018,23.95374,23.95374
25480,25480,28197,2019,3,1,23.9,-99.12,33.39029,17.23315,33.39029,17.23315,23.86804,23.86804
25487,25487,28198,2019,3,1,24.52,-99.39,33.14902,17.10669,33.14902,17.10669,24.07373,24.07373
25494,25494,28199,2019,3,1,24.37,-99.1,33.53796,17.88214,33.53796,17.88214,24.46698,24.46698
25501,25501,28200,2019,3,1,22.85,-98.73,33.84372,19.38281,33.84372,19.38281,25.1355,25.1355
25508,25508,28201,2019,3,1,22.96,-98.13,31.48035,20.0947,31.48035,20.0947,24.23489,24.23489
25515,25515,28202,2019,3,1,24.87,-98.64,33.69275,18.98666,33.69275,18.98666,25.11359,25.11359
25522,25522,28203,2019,3,1,22.78,-98.1,30.97375,20.46771,30.97375,20.46771,24.3382,24.3382
25529,25529,28204,2019,3,1,24.98,-98.31,32.26434,18.87857,32.26434,18.87857,24.24695,24.24695
25536,25536,28206,2019,3,1,22.88,-98.04,30.85651,20.3598,30.85651,20.3598,24.19128,24.19128
25543,25543,28207,2019,3,1,24.24,-98.82,34.36349,19.03119,34.36349,19.03119,25.38489,25.38489
25550,25550,28209,2019,3,1,24.67,-99.25,33.36566,17.56104,33.36566,17.56104,24.44604,24.44604
25557,25557,28210,2019,3,1,24.18,-97.99,31.36514,19.89362,31.36514,19.89362,24.05115,24.05115
25564,25564,28213,2019,3,1,24.8,-98.04,31.43933,19.11426,31.43933,19.11426,23.90125,23.90125
25571,25571,28214,2019,3,1,24.73,-99.4,33.26981,17.42352,33.26981,17.42352,24.39221,24.39221
25578,25578,28215,2019,3,1,24.26,-98.36,32.9126,19.4566,32.9126,19.4566,24.59079,24.59079
25585,25585,28216,2019,3,1,24.55,-98.16,32.0686,19.23447,32.0686,19.23447,24.09546,24.09546
25592,25592,28217,2019,3,1,24.18,-99.04,33.85922,18.09924,33.85922,18.09924,24.65723,24.65723
25599,25599,28218,2019,3,1,23.65,-99.1,32.90643,16.38751,32.90643,16.38751,23.09094,23.09094
25606,25606,28219,2019,3,1,23.14,-99.12,33.05679,17.26843,33.05679,17.26843,23.45914,23.45914
25613,25613,28220,2019,3,1,23.24,-99.1,32.97253,16.94376,32.97253,16.94376,23.29529,23.29529
25620,25620,28221,2019,3,1,23.55,-98.9,33.53882,17.37592,33.53882,17.37592,24.01108,24.01108
25627,25627,28222,2019,3,1,23.39,-98.81,33.61539,17.8132,33.61539,17.8132,24.25983,24.25983
25634,25634,28223,2019,3,1,24.87,-98.69,33.77548,18.99127,33.77548,18.99127,25.16388,25.16388
25641,25641,28226,2019,3,1,23.57,-98.79,33.75919,17.71704,33.75919,17.71704,24.33191,24.33191
25648,25648,28263,2019,3,1,23.79,-97.78,26.577,20.99951,26.577,20.99951,22.99893,22.99893
25655,25655,28264,2019,3,1,24.22,-98.64,34.30817,19.16098,34.30817,19.16098,25.39771,25.39771
25662,25662,28400,2019,3,1,22.73,-99.6,32.52679,16.39532,32.52679,16.39532,22.64246,22.64246
25669,25669,28402,2019,3,1,23.6,-97.98,30.83469,20.20428,30.83469,20.20428,24.00977,24.00977
25676,25676,28404,2019,3,1,24.07,-97.84,28.23419,20.5401,28.23419,20.5401,23.30347,23.30347
25683,25683,28405,2019,3,1,22.78,-98.87,33.84848,19.2438,33.84848,19.2438,25.06476,25.06476
25690,25690,29001,2019,3,1,19.55,-98.65,25.90134,7.05649,25.90134,7.05649,15.70471,15.70471
25697,25697,29002,2019,3,1,19.42,-98.14,26.51215,7.12659,26.51215,7.12659,15.83246,15.83246
